"serial_no","chapter_name","paragraph_number","paragraph","Word_Count","Sentance_Count","Stop_Words","Post_INFO"
"1","One","1","India vs South Africa 4th ODI, Vadodra 17 March 2000 Over 45 `Why  the  fuck  did  you  have  to  move?'  Ishaan's  scream  drowned out  the stadium din on the TV. I had shifted up to a sofa from the floor.","44","3","15","{""NOUN"": 15, ""NUM"": 4, ""."": 3, ""ADP"": 3, ""ADV"": 1, ""DET"": 5, ""VERB"": 6, ""PRON"": 2, ""PRT"": 5}"
"2","One","2","`Huh?' I said. We were in Ishaan's house Ishaan, Omi and I. Ishaan's mom had  brought  in  tea  and  khakra  for  us.  'It  is more  comfortable  to  snack  on  the sofa. That is why I moved.' `Tendulkar's  gone.  Fuck,  now  at this stage.  Omi,  don't  you  dare  move  now.","60","8","20","{""."": 7, ""NOUN"": 15, ""PRON"": 5, ""VERB"": 12, ""ADP"": 5, ""PRT"": 4, ""CONJ"": 2, ""NUM"": 1, ""ADV"": 5, ""ADJ"": 1, ""DET"": 3}"
"3","One","3","Nobody moves for the next five overs.' I  looked  at  the  TV.  We  were  chasing  283  to  win.  India's  score  a  ball  ago  was 256-2 after forty-five overs. Twenty-seven runs in five overs, with eight wickets to spare  and  Tendulkar  on  the  crease.  A  cakewalk.  The  odds  were  still  in  India's favour,  but  Tendulkar  was  out.  And  that  explained  the  frowns  on  Ishaan's forehead.","70","8","23","{""NOUN"": 22, ""ADP"": 9, ""DET"": 6, ""ADJ"": 4, ""NUM"": 4, ""PRT"": 6, ""PRON"": 2, ""VERB"": 9, ""ADV"": 3, ""."": 2, ""CONJ"": 3}"
"4","One","4","'The  khakra's crispy,'  Omi  said.  Ishaan  glared  at  Omi,  chiding  him  for  his shallow  sensory  pleasure  in  a  moment  of  national  grief.  Omi  and  I  kept  our  tea cups aside and looked suitably mournful.","38","3","10","{""PRT"": 2, ""NOUN"": 11, ""."": 3, ""VERB"": 5, ""ADP"": 4, ""PRON"": 4, ""ADJ"": 4, ""DET"": 1, ""CONJ"": 2, ""ADV"": 2}"
"5","One","5","The crowd clapped as Tendulkar made his exit. Jadeja came to the crease and added six more runs. End of forty-six overs, India 262/3. Twenty-one more runs to win in four overs, with seven wickets in hand.","39","4","12","{""DET"": 2, ""NOUN"": 14, ""VERB"": 5, ""ADP"": 5, ""PRON"": 1, ""PRT"": 2, ""CONJ"": 1, ""NUM"": 4, ""ADJ"": 3, ""."": 2}"
"6","One","6","Over 46 'He made 122. The guy did his job. Just a few final closing shots left. Why are you getting so worked up?' I asked during a commercial break. I reached for my tea cup, but Ishaan signalled me to leave it alone. We were not going to indulge until the fate of the match was decided. Ishaan was pissed with us anyway. The match was in Vadodra, just two hours away from Ahmedabad. But we could not go - one,  because  we  didn't  have  money,  and  two,  because  I  had  my correspondence  exams  in  two  days.  Of  course,  I  had  wasted  the  whole  day watching  the  match  on  TV  instead,  so  reason  number  two  did  not  really  hold much weight.","131","11","48","{""ADP"": 14, ""NUM"": 7, ""NOUN"": 27, ""VERB"": 29, ""DET"": 8, ""PRON"": 14, ""ADJ"": 6, ""ADV"": 11, ""PRT"": 4, ""."": 8, ""CONJ"": 3}"
"7","One","7","'It  is  5.25  runs  required  per  over,'  I  said,  not  able  to  resist  doing  a mathematical  calculation.  That  is  one  reason  I  like  cricket,  there  is  so  much maths in it.","35","2","12","{""NOUN"": 6, ""VERB"": 8, ""NUM"": 2, ""ADP"": 3, ""."": 4, ""PRON"": 3, ""ADV"": 2, ""ADJ"": 3, ""PRT"": 1, ""DET"": 3}"
"8","One","8","'You  don't  know  this  team.  Tendulkar  goes,  they  panic.  It  isn't  about  the average. It is like the queen bee is dead, and the hive loses order,' Ishaan said.","35","4","11","{""NOUN"": 8, ""VERB"": 8, ""ADV"": 2, ""DET"": 4, ""."": 4, ""PRON"": 3, ""ADP"": 2, ""ADJ"": 3, ""CONJ"": 1}"
"9","One","9","Omi nodded, as he normally does to whatever Ishaan has to say about cricket.","15","1","7","{""NOUN"": 3, ""VERB"": 5, ""."": 1, ""ADP"": 2, ""PRON"": 1, ""ADV"": 1, ""PRT"": 2}"
"10","One","10","'Anyway, I hope you realise, we didn't meet today to see this match. We have to decide what Mr Ishaan is doing about his future, right?' I said.","33","3","12","{""ADV"": 2, ""."": 3, ""PRON"": 7, ""VERB"": 10, ""NOUN"": 5, ""PRT"": 3, ""DET"": 1, ""ADP"": 1, ""ADJ"": 1}"
"11","One","11","Ishaan had always avoided this topic ever since he ran away from NDA a year ago. His dad had already sarcastically commented, 'Cut a cake today to celebrate one year of your uselessness.' However, today I had a plan. I needed to sit them down to talk about our lives.","53","4","18","{""NOUN"": 12, ""VERB"": 11, ""ADV"": 6, ""DET"": 4, ""ADP"": 5, ""PRON"": 7, ""."": 3, ""PRT"": 4, ""NUM"": 1}"
"12","One","12","Of course, against cricket, life is second priority.","10","1","2","{""ADP"": 2, ""NOUN"": 4, ""."": 2, ""VERB"": 1, ""ADJ"": 1}"
"13","One","13","'Later,' Ishaan said, staring avidly at a pimple cream commercial.","13","1","2","{""ADV"": 2, ""."": 3, ""NOUN"": 3, ""VERB"": 2, ""ADP"": 1, ""DET"": 1, ""ADJ"": 1}"
"14","One","14","'Later when Ishaan? I have an idea that works for all of us. We don't have a lot of choice, do we?' 'All of us? Me, too?' Omi quizzed, already excited. Idiots like him love to be part of something, anything. However, this time we needed Omi.","55","8","21","{""NOUN"": 13, ""ADV"": 5, ""PRON"": 7, ""VERB"": 9, ""DET"": 5, ""ADP"": 6, ""."": 6, ""NUM"": 1, ""PRT"": 2, ""ADJ"": 1}"
"15","One","15","'Yes, you play a critical role Omi. But later when Ish? When?' 'Oh, stop it! Look, the match is starting. Ok, over dinner. Let's go to Gopi,' Ish said.","37","7","8","{""NUM"": 2, ""."": 7, ""PRON"": 2, ""VERB"": 6, ""DET"": 2, ""ADJ"": 2, ""NOUN"": 9, ""CONJ"": 1, ""ADV"": 3, ""ADP"": 1, ""PRT"": 2}"
"16","One","16","'Gopi? Who's paying?' I was interrupted as the match began.","12","3","3","{""NOUN"": 2, ""PRON"": 2, ""VERB"": 5, ""."": 1, ""ADP"": 1, ""DET"": 1}"
"17","One","17","Beep,  beep,  beep.  The  horn  of  a  car  broke  our  conversation.  A  car  zoomed outside the pol.","19","3","4","{""NOUN"": 7, ""."": 2, ""VERB"": 3, ""DET"": 4, ""ADP"": 2, ""PRON"": 1}"
"18","One","18","'What the hell! I am going to teach this bastard a lesson,' Ish said, looking out the window.","21","2","7","{""ADP"": 1, ""DET"": 4, ""NOUN"": 5, ""PRON"": 1, ""VERB"": 5, ""PRT"": 2, ""."": 3}"
"19","One","19","'What's up?' 'Bloody  son  of  a  rich  dad.  Comes  and  circles  around  our  house  everyday' 'Why?' I said.","22","4","5","{""DET"": 2, ""VERB"": 2, ""PRT"": 3, ""."": 2, ""ADJ"": 2, ""NOUN"": 6, ""ADP"": 2, ""CONJ"": 1, ""PRON"": 2}"
"20","One","20","'For Vidya. He used to be in coaching classes with her. She complained about him there too,' Ish said.","21","3","9","{""PRT"": 2, ""NOUN"": 3, ""PRON"": 4, ""VERB"": 5, ""ADP"": 3, ""ADV"": 2, ""."": 2}"
"21","One","21","Beep, beep, beep, the car came near the house again.","13","1","3","{""NOUN"": 5, ""."": 3, ""DET"": 2, ""VERB"": 1, ""ADP"": 1, ""ADV"": 1}"
"22","One","22","'Damn, I don't want to miss this match,' Ish said as he saw India hit a four. Ish picked  up  his  bat.  We  ran  out  the  house.  The silver  Esteem  circled  the  pol  and came  back  for  another  round  of  serenading.  Ish  stood  in  front  of  the car  and asked the  boy  to  stop. The  Esteem  halted in  front of Ish. Ish went  to  the  driver, an adolescent.","73","7","25","{""NUM"": 2, ""."": 4, ""PRON"": 4, ""VERB"": 16, ""ADV"": 2, ""PRT"": 5, ""DET"": 11, ""NOUN"": 20, ""ADP"": 7, ""CONJ"": 2}"
"23","One","23","'Excuse me, your headlight is hanging out.' 'Really?' the boy said and shut off the ignition. He stepped outside and came to the front.","27","4","11","{""ADP"": 1, ""PRON"": 3, ""."": 2, ""NOUN"": 4, ""VERB"": 6, ""PRT"": 4, ""ADV"": 1, ""DET"": 3, ""CONJ"": 2, ""ADJ"": 1}"
"24","One","24","Ish grabbed the boy's head from behind and smashed his face into the bonnet.","15","1","6","{""NOUN"": 6, ""VERB"": 2, ""DET"": 2, ""PRT"": 1, ""ADP"": 2, ""CONJ"": 1, ""PRON"": 1}"
